"Nome";"categoria";"descrizione";"Metodiche di lavorazione conservazione e stagionatura";"materiali e attrezzature per la preparazione";"Locali di lavorazione conservazione e stagionatura";"territorio interessato"
"CICERCHIA";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Parte edule: seme.";"Semina in primavera. Raccolta manuale nel mese di Luglio, seguita da essiccazione naturale sul terreno. . La trebbiatura avviene tra la seconda decade di Luglio e la prima decade di Agosto, con relativa pulitura e selezione del prodotto. Seguono le fasi di vagliatura e confezionamento.";"Tradizionali macchine agricole.";"Magazzini freschi ed asciutti";"Regione Umbria"
"CIPOLLA DI CANNARA (ALLIUM CEPA).";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Bulbo di colore bianco, forma rotondeggiante, con poli convessi (schiacciati";"Semina a pieno campo nel mese di marzo. Sarchiatura nel mese di aprile, ripetuta più volte. Controllo delle fitopatie con prodotti a base di rame. Irrigazioni non abbondanti ma frequenti. Raccolta nei mesi di luglio e agosto ed asciugatura nel campo. Seguono le fasi di pulizia e selezione, del prodotto per tipo e calibratura. In seguito i bulbi vengono “intrecciati”, pronti per la vendita.";"Tradizionali macchine agricole";"Magazzini freschi ed asciutti";"Comune di Cannara"
"CIRIOLE";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Pasta lunga a sezione quadrata o rettangolare";"Ingredienti: farina di grano tenero, acqua. Variante: farina di grano tenero (2/3), semola di grano duro (1/3), acqua. Lavorazione a mano: gli ingredienti vengono lavorati a mano su spianatoia di legno; una volta ottenuto un impasto omogeneo, con il rasagnolo viene tirata la sfoglia dello spessore di circa 3 mm.; la sfoglia ottenuta viene arrotolata e tagliata a strisce larghe circa 3-4 mm. e lunghe circa 15/20 cm. al massimo. Lavorazione a macchina: gli ingredienti vengono lavorati nell’impastatrice, dalla quale viene estrusa una sfoglia dello spessore di circa 3 mm.. La sfoglia ottenuta viene poi resa omogenea da un rullo compressore e passata sulla taglierina, dove viene tagliata in strisce larghe circa 3-4 mm. e lunghe circa 15/20 cm. al massimo. Conservazione: il prodotto fresco va conservato al massimo 2/3 giorni a temperatura di circa 4°C, su vassoi di plastica per alimenti. Materiali e attrezzature specifiche utilizzati per la preparazione e il condizionamento";"Lavorazione a mano: - Spianatoia di legno; - rasagnolo di legno.";"Impastatrice; - taglierina.";"Provincia di Terni"
"COGLIONI DI MULO";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"La forma di questo salume ricorda i testicoli del mulo. E' composto da carne magra di maiale, con un lardello al centro";"Sezionatura: si sceglie la carne magra di suino; 2. macinazione a grana finissima; 3. al momento dell'insaccaggio viene inserito, al centro, il lardello. La carne insaccata viene poi stufata e stagionata per trenta giorni. Materiali";"Coltelli di vario tipo, tritacarne, insaccatrice, taglia lardelli, impastatrice, cella frigorifero.";"Sala di sezionamento, dove il suino viene tagliato nelle varie parti e preparato per l'uso; 2. sala lavorazione: dove si tritura la carne, si impasta e si insacca; 3. sala di asciugamento e/o stagionatura: la prima è a temperatura controllata, la seconda a temperatura naturale.";"Regione Umbria"
"COPPA DI TESTA";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"Salume di forma rettangolare, con un peso di circa 15 kg., una volta tagliata si possono notare i vari colori della carne dovuti alla diversità delle parti usate per la preparazione";"Sezionatura: le parti di suino interessate sono: la testa, le orecchie, il nasello, il muso e le cotiche; 2. pulizia delle parti stesse, si mettono poi a bagno per due giorni; 3. bollitura, vengono inserite in una pentola e bollite per 5 ore; 4. una volta cotta, la carne viene condita con pepe, sale, pochissimo aglio, buccia di limone e arancia; 5. viene poi posta in un contenitore di tela e fatta stare sotto peso per un paio di giorni; 6. percolazione, il contenitore di tela permette la fuoriuscita dei liquidi in eccesso; 7. non vi è stagionatura, infatti rimane di consistenza gelatinosa.";"Coltelli di vario tipo, contenitore di tela, impastatrice, cella frigorifero";"Sala di sezionamento, dove il suino viene tagliato nelle varie parti e preparato per l'uso; 2. sala lavorazione: dove avviene la bollitura delle parti del suino interessate, si impasta e dove si ottiene la percolazione; 3. sala di asciugamento e/o stagionatura: la prima è a temperatura controllata, la seconda a temperatura naturale.";"Regione Umbria"
"CORALLINA O SALAME UMBRO";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"Salume tipico umbro di media dimensione, di forma cilindrica, una volta tagliato risulta di carne magra con grandi occhiature di grasso";"Sezionatura: la parte di suino interessata è la polpa di spalla scelta mondata del grasso e dei tendini; 2. macinazione: la carne viene macinata a grana finissima, si aggiunge un po’ di lardo a cubetti, del pepe (sia macinato che in grani), sale e aglio pistato, marsala secco oppure vino rosso ; 3. il tutto viene amalgamato ed insaccato nel budello gentile del maiale; 4. si lascia riposare per alcuni giorni in luogo aerato e riscaldato con stufa a legna, a volte viene affumicato bruciando bacche di ginepro; 5. stagionatura per un periodo che varia dai tre ai cinque mesi in locali umidi e freschi.";"Coltelli di vario tipo, tritacarne, insaccatrice, scotennatrice, taglia lardelli, impastatrice, cella frigorifero";"1. Sala di sezionamento, dove il suino viene tagliato nelle varie parti e preparato per l'uso; 2. sala lavorazione: dove si macina la carne, si impasta e si insacca; 3. sala di asciugamento e/o stagionatura: la prima è a temperatura controllata, la seconda a temperatura naturale.";"Regione Umbria"
"CRESCIOLE DI CICCIOLI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Torte di forma rotonda oppure a treccia, di varie misure";"Esistono due varianti del prodotto: a) cresciole di ciccioli salate; b) cresciole di ciccioli dolci. Variante a): Ingredienti: farina di grano tenero, uova, lievito di birra, parmigiano o pecorino, olio di oliva, sale, ciccioli di maiale. Lavorazione: si impastano a mano (o nell’impastatrice) farina, acqua e lievito; una volta ottenuto un impasto omogeneo si lascia lievitare fino a quando l’impasto ha raddoppiato il suo volume; dopodiché si impasta ancora aggiungendo un po’ di farina, i ciccioli, l’olio, il sale e il parmigiano o pecorino. Si distribuisce l’impasto sulla teglia nelle forme desiderate (a forma di pizza o tortina o trecce), si lasciano lievitare per circa 45/60 minuti; si cuociono in forno a 180°C per circa 1 ora.                                                                                  Variante b): Ingredienti: farina di grano tenero, latte, olio di oliva, acqua tiepida, uova, zucchero, ciccioli, strutto, buccia d’arancia a dadini o candita, uva passa, cannella o noce moscata, pinoli. Lavorazione: si impastano a mano (o nell’impastatrice) farina, acqua e lievito; una volta ottenuto un impasto omogeneo si lascia lievitare fino a quando l’impasto ha raddoppiato il suo volume; dopodiché si impasta ancora aggiungendo un po’ di farina, i ciccioli e tutti gli altri ingredienti. Si distribuisce l’impasto sulla teglia nelle forme desiderate (a forma di pizza o tortina o trecce), si lasciano lievitare per circa 45/60 minuti; si cuociono in forno a 180°C per circa 1 ora. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2/3 giorni al massimo.";"Piano di acciaio; - impastatrice; - teglie da forno; - forno.";"Laboratorio di panetteria o pasticceria; - negozio di vendita con bancone espositore.";"Regione Umbria"
"CRESCIONDA";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolce basso di consistenza morbida costituito da tre strati: uno di fondo formato da amaretti e farina, uno centrale chiaro e morbido come un budino, uno superficiale di colore marrone scuro costituito dal cioccolato.";"Ingredienti: latte, uova intere, zucchero, amaretti sbriciolati, limone grattugiato, cioccolata fondente grattugiata. Lavorazione: in un contenitore si sbattono le uova con lo zucchero, si aggiungono gli altri ingredienti e si amalgama il tutto. Il preparato liquido si versa in una teglia da forno ben unta in modo che il dolce abbia uno spessore di circa 2-3 cm. e si cuoce in forno moderato fino a quando il composto diventa consistente ma morbido. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 1 o 2 giorni al massimo.";"Contenitori in acciaio; - mestoli in acciaio; - teglia da forno alluminata; - forno.";"Laboratorio di pasticceria; - negozio di vendita con bancone espositore";"Comune di Spoleto"
"FAGIOLINA DEL LAGO";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Seme molto piccolo color crema, di forma allungata; colorazione varia, con differenti screziature.";"Il terreno viene concimato prima della semina con potassio e fosforo; una successiva concimazione può essere effettuata a ridosso della fioritura. La semina avviene mediamente tra metà maggio e metà giugno, secondo la stagione e la qualità del terreno, alla distanza 75cm x 10 cm con profondità 5 cm.. La germinazione avviene abbastanza velocemente (3/4 giorni). Le cure colturali successive richieste sono: - Sarchiatura (può essere ripetuta più volte) e/o scerbature manuali; - Irrigazioni con cadenza settimanale; - interventi di emergenza vengono effettuati se la stagione è particolarmente asciutta, nel periodo che va dalla fioritura all’invaiatura (colore del seme); - trattamenti preventivi a base di poltiglia bordolese contro patogeni fungini. - La raccolta inizia dalla fine di agosto, e si protrae a settembre ed ottobre se la stagione lo consente. Le piante vengono sfalciate, sistemate in andane (strisce in mezzo al campo) e lasciate essiccare naturalmente al sole per 3/5 giorni per poi essere raccolte con apposita macchina operatrice (trebbiatrice e/o mietitrebbiatrice). Il prodotto raccolto viene sistemato in silos in atmosfera addizionata di anidride carbonica, oppure in sacchi di juta in attesa di essere selezionato e confezionato per la vendita";"Tradizionali macchine agricole. La falcia-andanatrice deve essere regolata per tagliare le piante il più aderente possibile al terreno; opportuni adattamenti saranno poi praticati anche alla trebbiatrice per la raccolta del seme.";"Silos a tenuta ermetica, per consentire all’anidride carbonica una migliore conservazione e disinfestazione, oppure sistemata in sacchi di juta dentro ambienti asciutti e possibilmente ventilati.";"Comuni di: Spello, Foligno e Castiglione del Lago."
"FAGIOLO (Phaseolus vulgaris) – varietà “Verdino di Cave” e “Giallo di Cave”";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Fagiolo “da sgrano” di taglia medio/piccola (lunghezza mm 12/18, peso 0,5 gr. ca), di forma ovoidale allungata. Nel tipo “Verdino” il colore varia dal verde chiaro (appena raccolto) all’avana chiaro (secco). Nel tipo “Giallo” il colore oscilla tra il giallo/bruno e l’ocra chiaro. Oltre al sapore gradevole, peculiari caratteristiche sono l’elevata digeribilità e la facilità di cottura dovute alla sottigliezza della buccia. Tale qualità si deve al terreno, fertile e povero di calcare.";"La semina: avviene nei mesi di Maggio/Giugno (usualmente in successione a colture di grano/orzo), a mano (tecnica detta “a postarelle”con 4/5 fagioli su buche distanti circa 40 cm) o con seminatrice (1 fagiolo ogni 5/7 cm). La coltivazione: si caratterizza per l’assenza di trattamenti con concimi chimici, pesticidi o diserbanti. La sarchiatura è meccanica. L’irrigazione è a solco. La raccolta: avviene in una sola volta, nei mesi di Agosto/Settembre, a baccelli secchi, mediante falciatura delle piante e seguente “battitura” in aia. Data le ridotte dimensioni degli appezzamenti tali operazioni vengono svolte in prevalenza manualmente. L’essiccazione: è ottenuta lasciando asciugare i fagioli in locali ampi e aerati. La conservazione: è possibile fino all’anno successivo alla raccolta, in barattoli di vetro o sacchetti di plastica, senza aggiunte di conservanti. Recentemente si è affermato anche il congelamento.";"La battitura avviene mediante bastoni. - La cernita (separazioni dei fagioli dalle impurità) è fatta con due tradizionali strumenti contadini: il “corvello” (per piccole quantità), e la “viara” (per quantità più grandi): - I fagioli (nell’ambito della “Sagra del Fagiolo”) sono venduti secchi, condizionati in sacchetti di plastica, senza alcuna aggiunta di conservanti o altre sostanze";"“Battitura” in aia di mattoni o cemento precedentemente pulita. - Essiccazione in locali asciutti ed aerati.";"Terreni irrigui della frazione di Cave (Foligno), costeggianti la sponda destra del fiume Topino. Il totale della superficie potenzialmente interessata è di circa 100 ha."
"FARRO (triticum dicoccum).";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Frutto (cariosside), dopo “sbramatura”.";"Semina in alta collina ottobre - novembre, in alta quota fine inverno - inizio primavera, permesso dal fatto che l’ecotipo dell’areale umbro è “alternativo”. Periodo di raccolta luglio – agosto con mietitrebbiattura . Seguono le fasi di “ sbramatura” e confezionamento del prodotto";"Tradizionali macchine agricole; - macchina macina sassi; - macchina specifica per selezionamento del seme";"Locali freschi, asciutti e ventilati";"Regione Umbria"
"FAVE DEI MORTI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolcetti secchi alle mandorle di forma ovale";"Ingredienti: mandorle dolci e mandorle amare, albume d’uovo, zucchero, buccia di limone grattugiata. Lavorazione: si spellano le mandorle dopo averle scottate in acqua bollente, si tostano e si tritano finemente. Si impastano (a mano o in impastatrice) le mandorle con gli albumi d’uovo lo zucchero e la buccia grattugiata di limone, si formano delle palline che vengono leggermente schiacciate a forma ovale, si sistemano in teglie da forno unte e spolverate di farina, si cuociono in forno a 180°C per circa 10/15 minuti. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2/3 giorni al massimo";"Impastatrice; - contenitori per alimenti; - teglie da forno; - forno.";"Laboratorio di pasticceria.  negozio di vendita con bancone espositore.";"Provincia di Perugia"
"MAZZAFEGATI";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"Si presentano a forma di salsiccia fresca, legate insieme da spago, il peso varia dagli 80 ai 150g. a seconda che siano salate o dolci";"I mazzafegati possono essere divisi in piccanti (salati) o dolci. Quelli piccanti: 1. macinazione di fegato, cuore, milza, lingua, polmone, una parte di guanciale fresco e un po’ di grasso; 2. l'impasto ottenuto viene condito con pepe, sale, buccia di arancia e spezie; 3. insaccati nel budello naturale e legati a salsiccia vengono punzecchiati con aghi per farne uscire aria e sangue. Quelli dolci: come sopra, si aggiungono pinoli, cannella, vino, uvetta e zucchero. I mazzafegati si consumano sia freschi sia stagionati. 4. Stagionatura, si fanno prima asciugare per alcuni giorni in ambiente caldo e ventilato, poi si mettono a stagionare in cantina o in un locale umido e fresco per circa 25-40 giorni.";"Coltelli di vario tipo; - tritacarne; - insaccatrice; - impastatrice; - cella frigorifero.";"1. Sala di sezionamento, dove il suino viene tagliato nelle varie parti e preparato per l'uso; 2. sala lavorazione: dove si tritura la carne, si impasta e si insacca; 3. sala di asciugamento e/o stagionatura: la prima è a temperatura controllata, la seconda a temperatura naturale.";"Regione Umbria"
"FORMAGGIO FARCITO";"FORMAGGI";"Formaggio da taglio prodotto con latte ovino o vaccino in forme di peso variabile, compreso tra 1-3 kg, con aggiunta di ingredienti diversi quali: tartufo; peperoncino; olive; erbe aromatiche; cipolla; aglio.";"Il latte viene prima pastorizzato a temperature di 70°C, quando la temperatura scende a 36°C si aggiunge il caglio naturale ed in seguito a coagulo si procede alla rottura della cagliata con lo spino a mano. Dopo la spinatura si aggiungono alla cagliata gli ingredienti per la farcitura, pastorizzati con salatura il giorno precedente.Si procede alla sistemazione su fuscelle (cerchi per la formatura), poi si sala a secco e si provvede all’eliminazione del siero con getto di vapore per 1 ora. Il giorno seguente le forme vengono messe nelle celle frigorifere a 7°C dove rimangono per un periodo di circa 30 giorni a maturare. Durante questa fase il formaggio viene periodicamente girato e controllato, e all’apparire delle prime muffe le forme di 1-3 kg di peso, vengono lavate con acqua e sale.";"Pastorizzatore; - polivalente in acciaio inox; - cassoni e condotte di vapore per la stufatura; - fuscelle; - spino e mestoli di legno o acciaio inox; - carrelli e tavole su cui si dispongono le forme durante la stagionatura";"Sala per la lavorazione del latte (laboratorio); - locale di salatura; - celle frigorifere ventilate; - locale di stagionatura; - locale di imballaggio e confezionamento.";"Regione Umbria"
"GUANCIALE o BARBOZZO";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"La guancia di suino, alla fine della lavorazione si presenta di forma triangolare, di medie dimensioni, di peso variabile dagli 800-1000 g., stagionato e ricoperto di pepe";"1. Sezionatura: la parte di suino interessata è il muscolo della guancia, dopo che si è tolta la cotica; 2. rifilatura; 3. salagione: si mette sotto sale per 4-5 gg.; 4. lavaggio, dopo si passa l'aglio, si aggiunge il vino e si ricopre di pepe; 5. asciugatura, per 4-5 gg.; 6. stagionatura per un periodo di 60-90 gg.";"Coltelli di vario tipo, contenitori per mettere sotto sale, scotennatrice e cella frigorifero";"1. Sala di sezionamento,dove il suino viene tagliato nelle varie parti e preparato per l'uso; 2. sala lavorazione: dove si rifila, si sala e si lava il guanciale; 3. sala di asciugamento e/o stagionatura: la prima è a temperatura controllata, la seconda a temperatura naturale.";"Regione Umbria"
"LATTERINO DEL TRASIMENO (Atherina boyeri)";"PREPARAZIONI DI PESCI, MOLLUSCHI E CROSTACEI E TECNICHE PARTICOLARI DI ALLEVAMENTO DEGLI STESSI";"Piccolo pesce con corpo sottile ed allungato, occhi grandi, piccole pinne dorsali e ventrali, pinna caudale forcuta. Livrea argentea lucente, dorso grigio/verde con pigmentazione bruno reticolata. Banda nero/argentea lungo i fianchi. Ventre bianco. La sua lungheza è di circa 7-10 cm. La carne è molto buona ed apprezzata.";"Stagione adatta alla pesca: inverno. Tecniche di pesca: rete da latterino, tofo, tofone con ali, bilancia ed altre tecniche usate per la pesca delle alborelle. Il prodotto viene commercializzato intero.";"-";"-";"Lago Trasimeno"
"LENTICCHIA (lens culinaris)";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Seme piccolo multicolore, di forma rotonda schiacciata";"Semina nei mesi di Marzo ed Aprile. La raccolta nel mesi di Agosto e Settembre avviene tramite falciatura, con essiccazione sul campo e mietitrebbiatura. Seguono le fasi di pulitura, vagliatura e setacciatura del prodotto, pronto per il confezionamento.";"Tradizionali macchine agricole, erpice ruotante e setacciatrice";"Magazzini oscurati temperatura ambiente, freschi.";"Comune di Foligno (altopiano di Colfiorito)."
"LOMBETTO";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"Salume di forma cilindrica, si presenta incartato con carta gialla e legato, di peso intorno ai 2 kg. Una volta tagliato risulta di colore rossastro senza venature di grasso";"1. Sezionatura: la parte di suino interessata è il lombo; 2. rifilatura; 3. salagione: si ricopre con un preparato, composto da sale, pepe e aglio, per la durata di una settimana; 4. lavaggio; 5. asciugatura, per 4-5 gg., poi si passa con pepe, aglio e vino (in quantità ridotte rispetto al capocollo); 6. confezionamento con carta gialla e legatura. Stagionatura per un periodo che varia dai 30 ai 40 gg., secondo le dimensioni";"Coltelli di vario tipo, cella frigorifero";"1. Sala di sezionamento, dove il suino viene tagliato nelle varie parti e preparato per l'uso; 2. sala lavorazione: dove si rifila, si sala e si lava il lombetto; 3. sala di asciugamento e/o stagionatura: la prima è a temperatura controllata, la seconda a temperatura naturale.";"Regione Umbria"
"LUCCIO DEL TRASIMENO (Esox lucius)";"PREPARAZIONI DI PESCI, MOLLUSCHI E CROSTACEI E TECNICHE PARTICOLARI DI ALLEVAMENTO DEGLI STESSI";"Corpo allungato ricoperto di squame cicloidi, muso tipico prominente ed appiattito, bocca ampia provvista di numerosi denti. Il dorso è di colore verde/bruno, i fianchi sono marmorizzati, zebrati e mimetici, il ventre è bianco/giallastro, le pinne giallastre con macchie nere. La lunghezza media è di 40-50 cm; può raggiungere i 120 cm. Il peso medio è di 600 gr. ma può raggiungere anche i 7-8 Kg. Le carni sono pregiate, bianche, sode ma delicate.";"Stagione adatta alla pesca: inverno. Tecniche di pesca: tramaglio (rete da posta formata da tre pezze sovrapposte), reti semplici a maglia larga, palangari (impiegano simultaneamente più ami; sono costituiti da un cavo principale chiamato trave, lungo anche diversi chilometri), tofo, bertovello (rete a forma di cono sostenuta da una serie di anelli in legno, in ferro o in plastica), canna da lancio con esca viva con cucchiaini ondulanti o ruotanti.";"E’ consuetudine mantenere esemplari vivi in vasche di vetroresina idonee all’uso.";"Locali, materiali ed attrezzature per la manipolazione e conservazione dell’alimento possiedono i requisiti previsti dalle seguenti norme: L. 283/62, DPR 327/80, D. Lgs 155/97. Il Luccio viene venduto refrigerato intero e quasi mai lavorato.";"Lago Trasimeno"
"MARRONE (Castanea sativa).";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Frutto di forma rotondeggiante, colore marrone scuro con striature evidenti, sapore dolce";"Pulitura terreno nel mese di settembre e Potatura delle piante e pulitura terreno nel mese di Settembre. Raccolta manuale o meccanica nei mesi di ottobre e novembre. Vendita o conservazione mediante curatura ( a bagno in acqua, per circa 10 giorni).";"Macchine per la raccolta, e selezione (calibratrice).";"Locali freschi ed asciutti oscurati.";"Comuni di Città di Castello, Monte Santa Maria Tiberina e Umbertide."
"MOSTACCIOLI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Biscotti secchi al mosto, a forma di piccole ciambelle o di filette schiacciate";"Variante a) Ingredienti: farina di grano tenero, mosto bianco, zucchero, semi di anice. Lavorazione: Si impastano (a mano o con l’impastatrice) tutti gli ingredienti fino ad ottenere un impasto omogeneo. Si formano delle piccole ciambelle (o filette schiacciate); si lasciano lievitare sulla teglia da forno per circa 2 ore. Cuocere in forno per circa 30 minuti. Variante b) Ingredienti: farina di grano tenero, zucchero, mosto bianco, semi di anice, uvetta, olio di oliva, lievito di birra, buccia d’arancio a dadini. Lavorazione: Si impastano (a mano o con l’impastatrice) farina, mosto e lievito di birra. Si aggiungono all’impasto tutti gli altri ingredienti, si formano delle piccole ciambelle (o filette schiacciate); si lasciano lievitare sulla teglia da forno per circa 2 ore. Si cuociono in forno per circa 30 minuti. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2/3 giorni al massimo.";"Impastatrice o piano da lavoro in acciaio; - teglie da forno; - forno.";"Laboratorio di pasticceria o panificazione; - negozio di vendita con bancone espositore.";"Regione Umbria"
"NOCIATA";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolce di consistenza dura, a base di noci e miele.";"Ingredienti: miele, noci, albume d’uovo, zucchero (facoltativo), ostie, foglie di alloro. Lavorazione: gli ingredienti, compreso l’albume montato a neve a mano o con la macchina “sbatti uovo”, vengono amalgamati nella macchina “impastatrice” o in una macchina “cuoci crema” o a mano per un tempo abbastanza lungo. Quando la nociata è pronta, viene versata su un piano di acciaio inox dove sono state appoggiate delle ostie, quindi viene tagliata a mano in forma di piccoli barrette sopra ognuna delle quali viene posta una foglia d’alloro. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per qualche giorno";"Macchina “sbatti uovo” per montare a neve l’albume d’uovo; - macchina impastatrice o macchina “cuoci crema” per impastare; - piani in acciaio inox.";"Laboratorio di panificazione o di pasticceria; - negozio di vendita con bancone espositore.";"Comuni di: Massa Martana, Todi, Acquasparta."
"PAMMELATI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolce simile ad un supplì";"Ingredienti: pane grattugiato, noci, cannella, miele, scorza di arancio, pinoli (facoltativo). Lavorazione: gli ingredienti vengono amalgamati al fuoco in una casseruola mescolando con un mestolo. Il composto viene rovesciato su un piano di marmo e arrotolato con le mani, poi tagliato in pezzi e modellato a supplì. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per qualche giorno";"Casseruola; - Fuochi; - mestoli in acciaio inox.";"Laboratorio di cucina; - negozio di vendita con bancone espositore.";"Comuni di: Deruta, Torgiano."
"PAMPEPATO";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Panetto di forma rotonda.";"Ingredienti: noci, uvetta, cacao, miele, mandorle, nocciole, mosto cotto, canditi, pinoli, limone, pepe, mistrà o marsala secco, caffè, cannella, chiodi di garofano (facoltativo), pochissima farina (necessaria solo se l’impasto è troppo liquido), poco zucchero, marmellata (facoltativo). Lavorazione: gli ingredienti vengono amalgamati nella macchina impastatrice o a mano; poi l’impasto viene suddiviso a mano in forma di panini tondi che vengono quindi cotti al forno. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2/3 giorni al massimo.";"Impastatrice  piani in acciaio inox forno";"Laboratorio di cucina; - negozio di vendita con bancone espositore.";"Provincia di Terni; Comuni di: Massa Martana, Todi, Marsciano, Deruta, Stroncone"
"PANE DI STRETTURA";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Pane sotto forma di filone e/o di filetta";"Ingredienti: farina di grano tenero, acqua di sorgente, lievito. Lavorazione: al lievito della panificazione precedente si aggiunge acqua e farina e la massa si lascia lievitare. Dopo alcune ore si impasta di nuovo la massa aggiungendo ancora acqua e farina e si preparano le forme di pane che si pongono a lievitare per 1 ora e 20 minuti. Si procede poi alla cottura nel forno a legna per 1 ora. Conservazione: il prodotto fresco va conservato in ambiente fresco e asciutto per 1 o 2 giorni.";"Macchina impastatrice; - forno di cottura; - tavoli in acciaio inox.";"Laboratorio di panificazione; - negozio di vendita con bancone espositore per pane.";"Comune di Spoleto."
"PAN MOSTATO";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Prodotto da forno simile ad una filetta di pane";"Ingredienti: farina di grano tenero, uova (facoltativo), sale, zucchero (facoltativo), acqua, grassi vegetali, lievito di birra, aromi, mosto, anice, uvetta. Lavorazione: Gli ingredienti vengono impastati in una macchina impastatrice o a mano. L’impasto si fa lievitare tre volte (deve aumentare di tre volte il proprio volume) all’interno di celle di lievitazione, si formano poi a mano delle filette che vengono cotte al forno. A volte all’impasto, oltre che la forma di filette, viene data la forma di maritozzi. La forma di maritozzo viene data utilizzando la macchina “spezzatrice”. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2/3 giorni al massimo.";"Macchina impastatrice;  macchina “spezzatrice”; celle di lievitazione; tavoli in acciaio inox; forno";"Laboratorio di panetteria o di pasticceria ; - negozio di vendita con bancone espositore.";"Comune di Foligno."
"PAN NOCIATO";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Panetto tondo di piccole dimensioni";"Ingredienti: farina, acqua, sale, noci, formaggio Emmenthal a cubetti (facoltativo), parmigiano grattugiato, pecorino grattugiato, pepe, lievito, strutto, uvetta (facoltativo). Lavorazione: gli ingredienti vengono amalgamati nella macchina impastatrice o a mano, poi l’impasto viene suddiviso a mano in panini tondi che vengono messi a lievitare. Terminata la lievitazione vengono cotti al forno. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2/3 giorni al massimo.";"Macchina impastatrice; - piani in acciaio inox - forno.";"Laboratorio di panificazione o di pasticceria; - negozio di vendita con bancone espositore.";"Comuni di: Perugia, Corciano, Torgiano, Deruta, Bettona, Bastia Umbra, Cannara, Assisi, Bevagna, Spello, Foligno, Montefalco, Trevi"
"PASSATELLI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Pasta corta cilindrica (o minestra) con superficie rugosa";"Ingredienti: pangrattato, grana padano, uova, noce moscata, limone grattugiato, sale. Lavorazione: gli ingredienti vengono lavorati a mano in un contenitore per alimenti. L’impasto viene poi messo in un’apposita macchina per macinare dalla quale viene estruso a pressione formando dei piccoli cilindri di lunghezza variabile da 1 a 10 cm. circa. Conservazione: essendo un prodotto fresco, va conservato al massimo 2/3 giorni a temperatura di circa 4°C, su vassoi di plastica per alimenti.";"Impastatrice Parmigiana; - Contenitore in plastica per alimenti.";"Laboratorio per pasta fresca; - Bancone-frigorifero specifico (a temperatura di 4°C).";"Provincia di Perugia"
